"trial","ref_position","var_area","response","correct","rt"
1,"R",14.2637960088905,"L",TRUE,3.11900019645691
2,"L",11.0237112231553,"L",FALSE,0.79800009727478
3,"L",11.1593847617041,"L",FALSE,0.29800009727478
4,"L",9.2375242121052,"L",FALSE,0.705999851226807
5,"L",12.0563928005286,"L",FALSE,0.596999883651733
6,"L",13.7952956266236,"R",TRUE,0.700000047683716
7,"R",9.50598094682209,"R",FALSE,0.398000001907349
8,"R",10.9636556324549,"R",FALSE,0.31499981880188
9,"L",11.3277296058368,"R",TRUE,0.11899995803833
10,"L",10.4187243720517,"R",TRUE,0.21399998664856
11,"L",12.3532236067113,"R",TRUE,0.196000099182129
12,"L",10.937771087978,"R",TRUE,0.294999837875366
13,"L",12.5926432891283,"R",TRUE,0.11899995803833
14,"R",9.89402705500834,"R",FALSE,0.194999933242798
15,"R",14.9942478288431,"R",FALSE,0.123000144958496
16,"L",13.6002282053232,"R",TRUE,0.189000129699707
17,"L",10.2093367257621,"R",TRUE,0.195000171661377
18,"R",8.47493431298062,"R",TRUE,0.29800009727478
19,"L",14.3553409148008,"L",FALSE,0.697999954223633
20,"R",10.0554213400465,"L",TRUE,0.397000074386597
21,"L",13.8906014028471,"L",FALSE,0.396000146865845
22,"L",13.487670246046,"L",FALSE,0.496000051498413
23,"R",14.9272089507431,"L",TRUE,0.495999813079834
24,"L",11.4250049493276,"L",FALSE,0.296999931335449
25,"R",8.68254973809235,"L",FALSE,0.397000074386597
26,"L",8.87006825464778,"L",TRUE,0.401000022888184
27,"R",14.0826889658347,"L",TRUE,0.314000129699707
28,"L",8.29347893944941,"L",TRUE,0.29800009727478
29,"L",13.5840006850194,"L",FALSE,0.196000099182129
30,"L",13.4465200749692,"L",FALSE,0.29800009727478
31,"R",8.07366533554159,"L",FALSE,0.296000003814697
32,"L",14.0856929062866,"L",FALSE,0.117000102996826
33,"L",12.0001921725925,"L",FALSE,0.21399998664856
34,"R",10.4867567492183,"L",TRUE,0.215000152587891
35,"L",11.8691702452488,"L",FALSE,0.29800009727478
36,"L",12.3790528841782,"L",FALSE,0.21399998664856
37,"L",11.1302588323597,"L",FALSE,0.194999933242798
38,"R",12.7844784150366,"L",TRUE,0.194999933242798
39,"L",14.6833401599433,"L",FALSE,0.19599986076355
40,"R",9.95681459130719,"L",TRUE,0.296000003814697
41,"L",10.7479816677514,"L",FALSE,0.196000099182129
42,"L",13.0129096517339,"L",FALSE,0.194000005722046
43,"L",10.482984993374,"L",FALSE,0.213000059127808
44,"L",9.28069295245223,"L",FALSE,0.296000003814697
45,"R",9.90785355377011,"L",TRUE,0.19599986076355
46,"R",9.95849269884638,"L",TRUE,0.19599986076355
47,"R",9.4632137992885,"L",TRUE,0.295000076293945
48,"L",13.9276988478377,"L",FALSE,0.196000099182129
49,"R",11.7776791721117,"L",TRUE,0.19599986076355
50,"R",13.0027921267319,"L",TRUE,0.19599986076355
51,"R",12.1076727577019,"L",TRUE,0.0980000495910645
52,"L",10.6218113184441,"L",FALSE,0.198000192642212
53,"L",11.1559368206654,"L",FALSE,0.296000003814697
54,"L",10.491724224994,"R",TRUE,2.00799989700317
55,"L",14.9036010778509,"L",FALSE,1.50400018692017
56,"L",9.15207063197158,"L",FALSE,3.82999992370605